Property label,Definition,Property URI,Controlled vocabluary (if applicable),Usage note,Requirement level,Range,Cardinality,Source of constraint,Value,SHACL_dash:viewer,SHACL_dash:editor,SHACL_sh:node,SHACL_sh:uniqueLang,SHACL_pattern,SHACL_default_value,SeMPyRO_rdf_term,SeMPyRO_rdf_type,SeMPyRO_range
radiopharmaceuticalVolumeRange,"The minimum and maximum volume of the administered radiopharmaceutical in cubic cm. See DICOM tag (0018, 1071) Radiopharmaceutical Volume ",,,,Recommended,schema:QuantitativeValue,0..1,,,,,,,,,,,
radionuclideTotalDoseRange,"The minimum and maximum of the radiopharmaceutical dose administered to the patient measured in MegaBecquerels (MBq) at the Radiopharmaceutical Start DateTime (0018,1078). See DICOM tag (0018,1074) Radionuclide Total Dose.",,,,Recommended,schema:QuantitativeValue,0..1,,,,,,,,,,,
