Property label,Definition,Property URI,Controlled vocabluary (if applicable),Usage note,Requirement level,Range,Cardinality,Source of constraint,Value,SHACL_dash:viewer,SHACL_dash:editor,SHACL_sh:node,SHACL_sh:uniqueLang,SHACL_pattern,SHACL_default_value,SeMPyRO_rdf_term,SeMPyRO_rdf_type,SeMPyRO_range
FieldStrength,"Magnetic field strength of the MRI machine, in Tesla.",,,,Mandatory,xsd:double,1..n,,,,,,,,,,,
coil,Type of coil used in the MRI machine.,,,"Vocabulary to be determined, for example: Coil geometry: https://radlex.org/RID/RID10644",Recommended,,0..n,,,,,,,,,,,
