Property label,Definition,Property URI,Controlled vocabluary (if applicable),Usage note,Requirement level,Range,Cardinality,Source of constraint,Value,SHACL_dash:viewer,SHACL_dash:editor,SHACL_sh:node,SHACL_sh:uniqueLang,SHACL_pattern,SHACL_default_value,SeMPyRO_rdf_term,SeMPyRO_rdf_type,SeMPyRO_range,
end date,The end of the period.,dcat:endDate,NA,,Recommended,xsd:dateTime,0..1,new,DCAT-AP v3,,,dash:LiteralViewer,dash:DateTimePickerEditor,,^\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}(\.\d+)?(Z|[+-]\d{2}:\d{2})$,,DCAT.startDate,rdfs_literal,LiteralField
start date,The start of the period.,dcat:startDate,NA,,Recommended,xsd:dateTime,0..1,new,DCAT-AP v3,,,dash:LiteralViewer,dash:DateTimePickerEditor,,^\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}(\.\d+)?(Z|[+-]\d{2}:\d{2})$,,DCAT.endDate,rdfs_literal,LiteralField
